bar,dir,trigger,outcome
2024-07-12 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-15 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 14:30:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 11:00:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 12:10:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-19 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-19 09:45:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 12:25:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-23 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-23 11:05:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-23 12:00:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-23 12:40:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-24 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-24 09:45:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-25 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-25 12:15:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-26 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-29 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-29 12:10:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-30 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-30 09:40:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-30 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-30 15:00:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-31 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-31 09:25:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-31 09:30:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-31 09:35:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-31 09:40:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-31 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-01 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-01 11:45:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-02 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-02 10:50:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-02 14:35:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-05 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-05 09:55:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-05 10:40:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-05 13:30:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-06 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-08-06 10:30:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
